
187;248429;5.48750868816975;None;5.775346043757918;3;(3.48, 20, 1)
188;249693;5.48750868816975;None;5.775346043757918;3;(3.17, 16, 1)
189;251196;5.48750868816975;None;5.775346043757918;3;(3.46, 15, 1)
190;252587;5.48750868816975;None;5.775346043757918;3;(3.5, 20, 1)
191;253856;5.48750868816975;None;5.775346043757918;3;(3.2, 14, 1)
192;255341;5.48750868816975;None;5.775346043757918;3;(3.87, 39, 1)
193;256654;5.48750868816975;None;5.775346043757918;3;(3.3, 17, 1)
194;258316;5.479208917047335;None;5.780486822003246;4;(4.23, 36, 1)
195;259534;5.479208917047335;None;5.780486822003246;4;(3.61, 36, 1)
196;260846;5.479208916451766;None;5.780487775757435;4;(3.62, 22, 1)
197;262078;5.479208915938602;None;5.78048732052552;4;(3.55, 12, 2)
198;263458;5.479208915938602;None;5.78048732052552;4;(3.41, 14, 1)
199;264742;5.47920891589034;None;5.780487331846532;4;(3.69, 11, 1)
200;266047;5.47920891589034;None;5.780487331846532;4;(3.66, 11, 1)
